Plot,Row,Col,Asseccion,dtf,Block,Trt
4002,3,31,PI 533810,75,4,NN
4003,4,31,PI 533852,62,4,NN
4008,9,31,PI 533910,71,4,NN
4009,10,31,PI 533842,81,4,NN
4010,11,31,PI 533799,76,4,NN
4011,12,31,PI 533902,79,4,NN
4015,3,30,PI 533810,86,4,NN
4016,4,30,PI 533852,76,4,NN
4018,6,30,PI 533766,65,4,NN
4019,7,30,PI 533911,65,4,NN
4020,8,30,PI 533814,69,4,NN
4022,10,30,PI 533901,71,4,NN
4023,11,30,PI 533807,75,4,NN
4024,12,30,PI 533919,76,4,NN
4025,13,30,PI 533878,62,4,NN
4026,14,30,PI 533776,65,4,NN
4027,2,29,PI 533794,63,4,NN
4029,4,29,PI 533936,63,4,NN
4030,5,29,PI 533785,62,4,NN
4032,7,29,PI 533752,63,4,NN
4033,8,29,TX430,63,4,NN
4035,10,29,PI 533838,53,4,NN
4038,13,29,PI 533761,65,4,NN
4039,14,29,PI 533938,NA,4,NN
4041,3,28,PI 329435,66,4,NN
4042,4,28,PI 533863,63,4,NN
4043,5,28,PI 533845,63,4,NN
4044,6,28,PI 533921,63,4,NN
4046,8,28,PI 533876,79,4,NN
4047,9,28,PI 276837,63,4,NN
4048,10,28,PI 533759,65,4,NN
4049,11,28,PI 533937,61,4,NN
4050,12,28,PI 533913,63,4,NN
4051,13,28,PI 533915,62,4,NN
4052,14,28,PI 533757,64,4,NN
4053,2,27,PI 533997,62,4,NN
4054,3,27,PI 533954,60,4,NN
4055,4,27,PI 534101,66,4,NN
4056,5,27,PI 533800,73,4,NN
4057,6,27,PI 533912,52,4,NN
4058,7,27,PI 533821,66,4,NN
4059,8,27,PI 533750,62,4,NN
4060,9,27,PI 534114,72,4,NN
4063,12,27,PI 534054,69,4,NN
4066,2,26,PI 533979,57,4,NN
4067,3,26,PI 533998,65,4,NN
4068,4,26,PI 534128,69,4,NN
4069,5,26,PI 533833,59,4,NN
4070,6,26,PI 329440,63,4,NN
4071,7,26,PI 533755,69,4,NN
4073,9,26,PI 534124,62,4,NN
4074,10,26,PI 533976,66,4,NN
4075,11,26,PI 534063,57,4,NN
4076,12,26,PI 534047,53,4,NN
4077,13,26,PI 533924,NA,4,NN
4078,14,26,PI 533824,NA,4,NN
4080,3,25,PI 533967,75,4,NN
4082,5,25,PI 533965,71,4,NN
4085,8,25,PI 533955,62,4,NN
4086,9,25,PI 533991,69,4,NN
4087,10,25,PI 533943,65,4,NN
4088,11,25,PI 533940,62,4,NN
4089,12,25,PI 534132,66,4,NN
4090,13,25,PI 534116,76,4,NN
4091,14,25,PI 533956,63,4,NN
4092,2,24,PI 534123,67,4,NN
4093,3,24,PI 534097,62,4,NN
4094,4,24,PI 533948,64,4,NN
4095,5,24,PI 534137,68,4,NN
4096,6,24,PI 533980,73,4,NN
4097,7,24,PI 534127,71,4,NN
4098,8,24,PI 534053,73,4,NN
4099,9,24,PI 533989,73,4,NN
4100,10,24,PI 534135,84,4,NN
4101,11,24,PI 533972,76,4,NN
4103,13,24,PI 534021,62,4,NN
4104,14,24,PI 533985,63,4,NN
4105,2,23,PI 533986,62,4,NN
4106,3,23,PI 534009,76,4,NN
4107,4,23,PI 534105,63,4,NN
4108,5,23,PI 534117,57,4,NN
4109,6,23,PI 534139,57,4,NN
4110,7,23,PI 534112,65,4,NN
4111,8,23,PI 534037,57,4,NN
4112,9,23,PI 533970,NA,4,NN
4113,10,23,PI 534138,66,4,NN
4114,11,23,PI 534104,63,4,NN
4115,12,23,PI 534144,67,4,NN
4116,13,23,PI 533987,58,4,NN
4117,14,23,PI 533996,59,4,NN
4118,2,22,PI 534157,81,4,NN
4119,3,22,PI 564165,76,4,NN
4121,5,22,PI 534046,59,4,NN
4122,6,22,PI 534099,65,4,NN
4123,7,22,PI 534115,65,4,NN
4124,8,22,PI 533957,NA,4,NN
4126,10,22,PI 576348,69,4,NN
4127,11,22,PI 548797,69,4,NN
4128,12,22,PI 576399,62,4,NN
4129,13,22,PI 534108,62,4,NN
4130,14,22,PI 534070,52,4,NN
4131,2,21,PI 576393,56,4,NN
4132,3,21,PI 564164,72,4,NN
4133,4,21,PI 576375,66,4,NN
4134,5,21,PI 533949,62,4,NN
4135,6,21,PI 533964,69,4,NN
4136,7,21,PI 533961,62,4,NN
4138,9,21,PI 576345,NA,4,NN
4139,10,21,PI 595699,67,4,NN
4140,11,21,PI 561073,78,4,NN
4141,12,21,PI 534163,78,4,NN
4142,13,21,PI 533962,69,4,NN
4143,14,21,PI 534133,73,4,NN
4144,2,20,PI 534148,71,4,NN
4145,3,20,PI 576364,59,4,NN
4147,5,20,PI 576337,62,4,NN
4148,6,20,PI 534145,56,4,NN
4149,7,20,PI 542718,61,4,NN
4150,8,20,PI 552861,NA,4,NN
4151,9,20,PI 561472,NA,4,NN
4152,10,20,PI 576380,73,4,NN
4154,12,20,PI 576396,69,4,NN
4156,14,20,PI 585295,78,4,NN
4158,3,19,PI 576422,66,4,NN
4159,4,19,PI 564163,68,4,NN
4160,5,19,PI 595702,62,4,NN
4161,6,19,PI 576394,61,4,NN
4162,7,19,PI 534155,69,4,NN
4163,8,19,PI 576390,57,4,NN
4164,9,19,PI 576426,67,4,NN
4165,10,19,PI 576359,69,4,NN
4166,11,19,PI 576437,62,4,NN
4167,12,19,PI 576350,57,4,NN
4168,13,19,PI 576418,65,4,NN
4169,14,19,PI 576130,71,4,NN
4170,2,18,PI 576387,67,4,NN
4171,3,18,PI 574455,76,4,NN
4172,4,18,PI 576381,71,4,NN
4173,5,18,PI 576401,81,4,NN
4174,6,18,PI 576333,69,4,NN
4175,7,18,PI 576373,65,4,NN
4176,8,18,PI 576366,NA,4,NN
4177,9,18,PI 576435,67,4,NN
4178,10,18,PI 576385,57,4,NN
4179,11,18,PI 595718,60,4,NN
4180,12,18,PI 576339,61,4,NN
4181,13,18,PI 595714,67,4,NN
4182,14,18,PI 576386,76,4,NN
4183,2,17,PI 595739,67,4,NN
4184,3,17,PI 597949,79,4,NN
4185,4,17,PI 655995,69,4,NN
4186,5,17,PI 576340,70,4,NN
4187,6,17,PI 576428,69,4,NN
4188,7,17,TX430,66,4,NN
4191,10,17,PI 655997,65,4,NN
4193,12,17,PI 597952,69,4,NN
4194,13,17,PI 561072,73,4,NN
4195,14,17,PI 565121,71,4,NN
4197,3,16,PI 655973,62,4,NN
4198,4,16,PI 595744,60,4,NN
4199,5,16,PI 576347,53,4,NN
4200,6,16,PI 576349,63,4,NN
4201,7,16,PI 576352,60,4,NN
4202,8,16,PI 576425,65,4,NN
4204,10,16,PI 595743,76,4,NN
4205,11,16,PI 655970,73,4,NN
4206,12,16,PI 597973,72,4,NN
4207,13,16,PI 542406,83,4,NN
4208,14,16,PI 576376,63,4,NN
4209,2,15,PI 597958,63,4,NN
4210,3,15,PI 595720,60,4,NN
4211,4,15,PI 609456,98,4,NN
4212,5,15,PI 597982,56,4,NN
4213,6,15,PI 642793,65,4,NN
4214,7,15,PI 655994,62,4,NN
4215,8,15,PI 597980,57,4,NN
4216,9,15,PI 601816,75,4,NN
4217,10,15,PI 655978,65,4,NN
4218,11,15,PI 655972,66,4,NN
4219,12,15,PI 597968,62,4,NN
4220,13,15,PI 597971,62,4,NN
4221,14,15,PI 655977,66,4,NN
4222,2,14,PI 598069,98,4,NN
4223,3,14,PI 597964,71,4,NN
4224,4,14,PI 597950,58,4,NN
4225,5,14,PI 655974,65,4,NN
4226,6,14,PI 597951,62,4,NN
4229,9,14,PI 597960,67,4,NN
4230,10,14,PI 629059,65,4,NN
4231,11,14,PI 642791,76,4,NN
4233,13,14,PI 641849,53,4,NN
4234,14,14,PI 641874,62,4,NN
4235,2,13,PI 595740,75,4,NN
4236,3,13,PI 595745,65,4,NN
4238,5,13,PI 655993,69,4,NN
4239,6,13,PI 655976,69,4,NN
4240,7,13,PI 651496,100,4,NN
4241,8,13,PI 655979,67,4,NN
4242,9,13,PI 607931,72,4,NN
4246,13,13,PI 642998,66,4,NN
4247,14,13,PI 597961,62,4,NN
