Plot,Row,Col,Asseccion,Block,Trt,name,value
4002,3,31,PI 533810,4,NN,LA_1,43.4
4002,3,31,PI 533810,4,NN,LA_2,42.7
4002,3,31,PI 533810,4,NN,LA_3,44.4
4003,4,31,PI 533852,4,NN,LA_1,37.8
4003,4,31,PI 533852,4,NN,LA_2,31
4003,4,31,PI 533852,4,NN,LA_3,40.2
4003,4,31,PI 533852,4,NN,LA_4,46.3
4003,4,31,PI 533852,4,NN,LA_5,49.8
4003,4,31,PI 533852,4,NN,LA_6,52.9
4008,9,31,PI 533910,4,NN,LA_1,34.2
4008,9,31,PI 533910,4,NN,LA_2,30.7
4008,9,31,PI 533910,4,NN,LA_3,43.7
4008,9,31,PI 533910,4,NN,LA_4,41.7
4009,10,31,PI 533842,4,NN,LA_1,39.7
4009,10,31,PI 533842,4,NN,LA_2,37.9
4009,10,31,PI 533842,4,NN,LA_3,46.9
4010,11,31,PI 533799,4,NN,LA_1,44.8
4010,11,31,PI 533799,4,NN,LA_2,40.6
4010,11,31,PI 533799,4,NN,LA_3,44.6
4010,11,31,PI 533799,4,NN,LA_4,40.4
4011,12,31,PI 533902,4,NN,LA_1,41.9
4011,12,31,PI 533902,4,NN,LA_2,34.5
4011,12,31,PI 533902,4,NN,LA_3,42.2
4015,3,30,PI 533810,4,NN,LA_1,42.7
4015,3,30,PI 533810,4,NN,LA_2,37.8
4015,3,30,PI 533810,4,NN,LA_3,40.7
4015,3,30,PI 533810,4,NN,LA_4,37.1
4015,3,30,PI 533810,4,NN,LA_5,24.1
4015,3,30,PI 533810,4,NN,LA_6,37.8
4016,4,30,PI 533852,4,NN,LA_1,44.2
4016,4,30,PI 533852,4,NN,LA_2,42
4018,6,30,PI 533766,4,NN,LA_1,56.5
4018,6,30,PI 533766,4,NN,LA_2,64.6
4019,7,30,PI 533911,4,NN,LA_1,36.4
4019,7,30,PI 533911,4,NN,LA_2,44.5
4019,7,30,PI 533911,4,NN,LA_3,39.2
4019,7,30,PI 533911,4,NN,LA_4,42.2
4019,7,30,PI 533911,4,NN,LA_5,60.5
4019,7,30,PI 533911,4,NN,LA_6,60.4
4020,8,30,PI 533814,4,NN,LA_1,45.7
4020,8,30,PI 533814,4,NN,LA_2,38.6
4022,10,30,PI 533901,4,NN,LA_1,46.2
4022,10,30,PI 533901,4,NN,LA_2,63.2
4022,10,30,PI 533901,4,NN,LA_3,57.3
4022,10,30,PI 533901,4,NN,LA_4,51
4022,10,30,PI 533901,4,NN,LA_5,53.3
4022,10,30,PI 533901,4,NN,LA_6,59.6
4023,11,30,PI 533807,4,NN,LA_1,55.7
4023,11,30,PI 533807,4,NN,LA_2,44.1
4023,11,30,PI 533807,4,NN,LA_3,53
4023,11,30,PI 533807,4,NN,LA_4,52.2
4023,11,30,PI 533807,4,NN,LA_5,59.2
4024,12,30,PI 533919,4,NN,LA_1,54.2
4024,12,30,PI 533919,4,NN,LA_2,36.5
4024,12,30,PI 533919,4,NN,LA_3,37.7
4024,12,30,PI 533919,4,NN,LA_4,50.2
