Asseccion,nnla,snla
BTx623,38.9364055299539,38.8587155963303
PI 152651,74.1416666666667,69.7833333333333
PI 17548,44.9444444444444,47.0666666666667
PI 276837,46.0882352941176,51.2333333333333
PI 329435,35.7,46.025
PI 329440,48.2538461538462,38.2916666666667
PI 533750,39.05,38.775
PI 533752,47.6058823529412,52.8
PI 533754,53.9333333333333,54.8416666666667
PI 533755,39.8944444444444,36.7666666666667
PI 533757,35.3222222222222,41.8363636363636
PI 533758,47.675,44.8666666666667
PI 533759,46.7388888888889,51.5
PI 533760,41.85,38.6666666666667
PI 533761,45.4058823529412,42.2666666666667
PI 533766,53.0785714285714,56.0714285714286
PI 533769,48.47,33.3333333333333
PI 533776,55.9125,50.7714285714286
PI 533785,50.2222222222222,57.7
PI 533789,44.1416666666667,47.3727272727273
PI 533794,39.1888888888889,48.9083333333333
PI 533799,39.35,49.9
PI 533800,29.6611111111111,39.65
PI 533807,53.8066666666667,52.6714285714286
PI 533810,38.7470588235294,41.25
PI 533814,35.8071428571429,43.8428571428571
PI 533821,47.9823529411765,51.33
PI 533824,39.3833333333333,41.5166666666667
PI 533830,40.0625,40.85
PI 533833,60.8222222222222,62.2166666666667
PI 533838,43.77875,41.7416666666667
PI 533839,42.775,45.1333333333333
PI 533841,42.7166666666667,48.5666666666667
PI 533842,39.9833333333333,36.0333333333333
PI 533845,57.17,58.3
PI 533852,46.9636363636364,71.6
PI 533855,43.6333333333333,43.1833333333333
PI 533856,28.875,37.4916666666667
PI 533863,56.3111111111111,63.525
PI 533869,47.1416666666667,51.0833333333333
PI 533878,52.4833333333333,62.95
PI 533901,62.5833333333333,61.2
PI 533902,35.7642857142857,42.0416666666667
PI 533903,31.5111111111111,33.0666666666667
PI 533910,33.85625,32.9
PI 533911,44.7166666666667,53.2666666666667
PI 533912,68.9611111111111,65.4666666666667
PI 533913,37.9846153846154,34.57
PI 533915,56.7,63.4916666666667
PI 533919,46.85,45.9083333333333
PI 533921,54.8444444444444,60.55
PI 533924,40.3833333333333,50.9875
PI 533927,42.4,39.2333333333333
PI 533936,28.3666666666667,39.375
PI 533937,62.18125,64.5909090909091
PI 533938,50.3666666666667,52.8666666666667
PI 533939,51.7,47.9
PI 533940,48.8222222222222,56.4666666666667
PI 533943,44.6166666666667,48.9
PI 533948,50.7235294117647,46.175
PI 533949,51.1555555555556,50.5583333333333
PI 533954,46.9083333333333,42.7083333333333
PI 533955,44.81875,53.8166666666667
PI 533956,41.8470588235294,52.0142857142857
PI 533957,30,45.95
PI 533961,48.0214285714286,42.575
PI 533962,40.1,36.0818181818182
PI 533964,43.66,31.8
PI 533965,44.6222222222222,47.0833333333333
PI 533967,45.0333333333333,56.0333333333333
PI 533970,45.5,50.16
PI 533972,33.8944444444444,44.2833333333333
PI 533976,53.5111111111111,58.0666666666667
PI 533979,51.1,50.6
PI 533980,46.4555555555556,53.5833333333333
PI 533985,46.5333333333333,59.075
PI 533986,55.8733333333333,47.3416666666667
PI 533987,44.2375,46.56
PI 533989,42.0666666666667,41.2666666666667
PI 533991,53.2,63.7833333333333
PI 533996,43.8307692307692,42
PI 533997,34.4833333333333,37.775
PI 533998,44.7,55.1
PI 534009,41,44.5666666666667
PI 534021,34.61875,38.15
PI 534037,67.7388888888889,71.0083333333333
PI 534046,48.3166666666667,47.52
PI 534047,57.1388888888889,57.1916666666667
PI 534053,45.4142857142857,53.9833333333333
PI 534054,40.5555555555556,45.1
PI 534063,65.2611111111111,60.0416666666667
PI 534070,51.6,53.5818181818182
PI 534097,42.0875,43.4
PI 534099,49.2235294117647,39.1
PI 534101,44.5428571428571,46.85
PI 534104,44.125,38.9
PI 534105,60.8666666666667,62.15
PI 534108,47.7222222222222,45.5833333333333
PI 534112,35.5277777777778,34.7833333333333
PI 534114,29.4230769230769,42.975
PI 534115,50.3166666666667,56.5416666666667
PI 534116,44.8,49.5909090909091
PI 534117,38.5,44.15
PI 534123,50.00625,54.8285714285714
PI 534124,53.0625,39.2833333333333
PI 534127,41.5666666666667,51.6166666666667
PI 534128,43.3777777777778,60.3333333333333
PI 534132,35.1363636363636,41.14
PI 534133,28.9444444444444,30.6083333333333
PI 534135,33.4307692307692,25.4666666666667
PI 534137,55.1625,56.55
PI 534139,74.4666666666667,75.6166666666667
PI 534144,60.2272727272727,59.475
PI 534145,54.3777777777778,59.875
PI 534148,33.7388888888889,48.2166666666667
PI 534155,34.0117647058824,40.15
PI 534157,31.4428571428571,34.4636363636364
PI 534163,35.8642857142857,40.86
PI 542406,43.2666666666667,40.1
PI 542718,43.7923076923077,56.5714285714286
PI 548797,37.0266666666667,42.95
PI 552861,49.275,50.0916666666667
PI 561072,32.8875,41.5714285714286
PI 561073,40.2375,42.65
PI 561472,31.3333333333333,45.0666666666667
PI 564163,33.2,38.1875
PI 564164,37.0111111111111,35.575
PI 564165,31.4909090909091,31.3363636363636
PI 565121,42.7733333333333,43.74
PI 574455,33.5818181818182,40.0571428571429
PI 576130,47.6444444444444,53.3333333333333
PI 576333,35.5583333333333,30.04
PI 576337,45.2666666666667,40.8888888888889
PI 576339,40.2111111111111,49.3416666666667
PI 576340,38.9555555555556,57.1833333333333
PI 576345,40.85,42.85
PI 576347,51.0142857142857,41.15
PI 576348,32.7055555555556,38.825
PI 576349,39.9352941176471,36.0333333333333
PI 576352,49.3214285714286,66.1857142857143
PI 576359,46.7555555555556,52.3
PI 576364,56.49375,60.7833333333333
PI 576366,63.8727272727273,50.4166666666667
PI 576373,54.7722222222222,64.25
PI 576375,42.7764705882353,45.0166666666667
PI 576376,45.6055555555556,42.9181818181818
PI 576380,35.8,35.6428571428571
PI 576381,47.15,42.8
PI 576385,64.3222222222222,65.7666666666667
PI 576386,50.0294117647059,NA
PI 576387,52.525,43.4090909090909
PI 576390,45.5944444444444,51.5
PI 576393,34.5083333333333,44
PI 576394,52.9181818181818,66.7222222222222
PI 576396,42.6916666666667,50.7272727272727
PI 576399,50.4277777777778,52.975
PI 576401,30.9285714285714,36.075
PI 576418,44.0411764705882,44.3666666666667
PI 576422,42.3117647058824,45.6571428571429
PI 576425,48.6666666666667,51.5
PI 576426,43.13,43.0666666666667
PI 576428,49.2277777777778,50.4272727272727
PI 576435,53.4307692307692,46.8833333333333
PI 576437,63.2875,60.2
PI 585295,34.6125,46.2666666666667
PI 595699,31.875,43.9
PI 595702,44.2722222222222,46.5583333333333
PI 595714,53.9666666666667,52.8222222222222
PI 595718,52.3823529411765,40.3
PI 595720,36.4555555555556,40.6285714285714
PI 595739,37.0461538461538,33.7833333333333
PI 595740,36.9572222222222,41.1636363636364
PI 595741,46.725,38.7555555555556
PI 595743,41.7333333333333,38.0636363636364
PI 595744,47.3777777777778,48
PI 595745,58.8411764705882,62.5333333333333
PI 597946,40.2333333333333,47.9090909090909
PI 597949,47.4428571428571,50.95
PI 597950,57.9722222222222,50.1166666666667
PI 597951,50.2176470588235,66.2083333333333
PI 597952,48.6384615384615,54.925
PI 597957,38.4166666666667,44.75
PI 597958,39.35,35.9083333333333
PI 597960,53.7333333333333,52.5083333333333
PI 597961,44.85,44.625
PI 597964,39,36.9833333333333
PI 597965,59.9266666666667,69.2333333333333
PI 597966,40.7666666666667,40.6666666666667
PI 597967,59.725,49.5416666666667
PI 597968,48.8666666666667,51.3
PI 597971,47.2,52.475
PI 597972,54.4222222222222,52.6363636363636
PI 597973,38.3777777777778,60.3916666666667
PI 597976,63.9333333333333,67.25
PI 597980,41.2277777777778,45.5142857142857
PI 597982,59.0944444444444,70.3
PI 598069,18.5666666666667,20.6666666666667
PI 601816,34.9076923076923,42.6
PI 607931,33.9272727272727,55.4666666666667
PI 609456,30.0090909090909,29.4
PI 629040,44.7444444444444,44.0571428571429
PI 629059,41.9388888888889,46.8416666666667
PI 641849,48.2583333333333,49.6888888888889
PI 641874,45.6055555555556,48.3666666666667
PI 642791,48.0823529411765,54.975
PI 642793,41.1888888888889,44.0833333333333
PI 642992,44.72,50.45
PI 642998,46.4611111111111,58.7833333333333
PI 651496,28.9333333333333,34.7416666666667
PI 655970,35.7277777777778,36.85
PI 655971,45.7647058823529,41.9363636363636
PI 655972,47.6833333333333,49.6833333333333
PI 655973,66.6642857142857,62.7222222222222
PI 655974,38.8555555555556,46.95
PI 655975,46.1166666666667,48.2571428571429
PI 655976,41.7777777777778,36.85
PI 655977,44.6647058823529,51.2909090909091
PI 655978,43.025,40.6714285714286
PI 655979,39.6615384615385,35.5
PI 655981,47.1,53.5083333333333
PI 655992,44.6571428571429,51.8333333333333
PI 655993,40.2470588235294,46.4181818181818
PI 655994,40.9111111111111,43.0333333333333
PI 655995,44.3411764705882,43.7083333333333
PI 655996,44.9411764705882,41.9666666666667
PI 655997,53.3411764705882,53.9333333333333
PI 655998,44.8611111111111,44.8583333333333
PI 655999,23.4,39.69
PI 656000,30.8166666666667,28.6166666666667
PI 656001,34.0181818181818,41.8416666666667
PI 656002,47.63125,47.1833333333333
PI 656003,35.98125,38.7571428571429
PI 656004,36.6083333333333,50.27
PI 656005,45.0222222222222,45.0166666666667
PI 656006,35.1888888888889,36.6583333333333
PI 656007,36.475,39.9333333333333
PI 656008,38.6222222222222,41
PI 656009,34.9388888888889,39.4666666666667
PI 656010,58.8307692307692,59.3833333333333
PI 656011,35.5944444444444,38.9444444444444
PI 656012,34.82,49.3833333333333
PI 656013,39.8294117647059,30.6
PI 656014,37.7166666666667,46.6666666666667
PI 656016,38.3692307692308,37.8666666666667
PI 656017,32.6666666666667,29.9583333333333
PI 656018,39.075,48.9333333333333
PI 656019,54.9666666666667,63.1833333333333
PI 656020,53.35,47.5444444444444
PI 656021,45.5352941176471,39.5833333333333
PI 656022,46.2944444444444,44.3714285714286
PI 656023,27.9666666666667,48.0333333333333
PI 656024,26.5777777777778,32.5916666666667
PI 656025,44.5375,33.15
PI 656026,38.7785714285714,51.6666666666667
PI 656027,36.375,44.1
PI 656028,45.0166666666667,51.9166666666667
PI 656029,40.3777777777778,43.6
PI 656030,34.9555555555556,35.25
PI 656031,36.0166666666667,37.6166666666667
PI 656032,40.1058823529412,37.9333333333333
PI 656034,36.65,48.1333333333333
PI 656035,65.1,50.14
PI 656036,39.0461538461538,51.8333333333333
PI 656037,36.2277777777778,39.9166666666667
PI 656039,36.4545454545455,41.4333333333333
PI 656040,37.6,43.0583333333333
PI 656041,42.3,38.4222222222222
PI 656042,39.15,46.1
PI 656043,30.7333333333333,37.45
PI 656044,38.1857142857143,38.9142857142857
PI 656046,42.9285714285714,51.5888888888889
PI 656048,34.35,47.2916666666667
PI 656049,34.3722222222222,52.0166666666667
PI 656050,62.4529411764706,55.6333333333333
PI 656051,28.1055555555556,31.3916666666667
PI 656052,47.8181818181818,56.6166666666667
PI 656053,35.2733333333333,50.8333333333333
PI 656055,44.5611111111111,44.1333333333333
PI 656056,30.4666666666667,38.475
PI 656058,46.3166666666667,57.625
PI 656059,35.1555555555556,50.6666666666667
PI 656060,52.6083333333333,57.6583333333333
PI 656061,38.11875,45.4833333333333
PI 656062,33.975,35.225
PI 656068,33.5941176470588,32.55
PI 656069,38.3583333333333,40.0818181818182
PI 656070,38.4555555555556,35.85
PI 656071,53.50625,63.0333333333333
PI 656072,39.6,38.2
PI 656074,33.5666666666667,40.35
PI 656075,42.1533333333333,45.5166666666667
PI 656076,38.2277777777778,49.8833333333333
PI 656077,53.625,56.3666666666667
PI 656078,46.4857142857143,48.9
PI 656079,35.0944444444444,36.5916666666667
PI 656080,49.6416666666667,54.85
PI 656081,46.8714285714286,47.8285714285714
PI 656082,38.70625,39.0166666666667
PI 656085,48.0555555555556,42.3
PI 656086,42.6769230769231,55.37
PI 656087,48.5071428571429,45.1833333333333
PI 656088,51.9722222222222,40.9833333333333
PI 656089,43.1,43.2083333333333
PI 656090,67.175,56.69
PI 656091,38.8117647058824,34.425
PI 656092,32.05,32.2333333333333
PI 656093,63,62.4166666666667
PI 656094,71.3333333333333,66.2916666666667
PI 656095,39,39.1166666666667
PI 656096,55.1833333333333,53.6583333333333
PI 656097,33.9058823529412,34.9375
PI 656099,26.2294117647059,33.4166666666667
PI 656100,36.4666666666667,39.75
PI 656102,44.2722222222222,43.1666666666667
PI 656104,45.3666666666667,43.8416666666667
PI 656105,47.0111111111111,37.8666666666667
PI 656106,41.5272727272727,42.4666666666667
PI 656107,50.3375,47.3
PI 656108,48.725,44.2833333333333
PI 656109,58.8933333333333,57.225
PI 656110,41.1,40.1916666666667
PI 656111,58.9416666666667,60.2166666666667
PI 656114,33.9461538461538,50.275
PI 656115,38.07,43.0166666666667
PI 656116,50.6611111111111,52.0333333333333
PI 656117,48.1909090909091,48.58
PI 656118,37.7941176470588,45.3454545454545
PI 656119,57.5071428571429,63.22
PI 656120,47.95,57.2333333333333
PI 656121,56.9466666666667,55.8818181818182
PI 659691,44.46,44.2777777777778
PI 659693,46.1615384615385,45.2
PI 659694,40.0625,45.1166666666667
PI 659695,37.0142857142857,42.5666666666667
PI 659696,51.8166666666667,41.35
PI 659753,41.6,41.8833333333333
TX430,41.7644444444444,42.4833333333333
