Accession,nndtf,sndtf
BTx623,64.65293,60.51641
PI152651,57.18871,52.48628
PI17548,63.74252,58.58866
PI276837,62.84109,61.29807
PI329435,73.35781,64.45906
PI329440,64.34347,61.74964
PI34911,74.80014,70.78102
PI48770,67.92739,67.16847
PI533750,62.54061,61.29807
PI533752,65.54539,63.10435
PI533754,62.34328,58.58866
PI533755,70.05255,64.83704
PI533757,68.24969,65.36219
PI533758,68.35694,65.36219
PI533759,64.34347,56.60320
PI533760,65.77965,62.36688
PI533761,69.45160,71.42411
PI533766,62.84109,58.58866
PI533769,61.05464,57.42658
PI533776,68.35694,61.29807
PI533785,63.44204,60.84650
PI533789,73.08195,69.42632
PI533794,65.84586,64.00749
PI533799,70.95398,64.83704
PI533800,73.51150,67.62004
PI533807,71.25446,71.23259
PI533810,78.12722,69.77734
PI533814,71.25446,70.78102
PI533821,67.94921,66.26533
PI533824,69.64558,65.36219
PI533830,67.06830,56.60320
PI533833,62.84109,62.65278
PI533838,55.47052,53.62140
PI533839,66.20920,65.81376
PI533841,68.35694,63.10435
PI533842,78.16545,73.94201
PI533845,64.92056,64.45906
PI533852,66.11253,63.19027
PI533855,64.86074,63.10435
PI533856,74.80014,71.68416
PI533863,64.94443,62.65278
PI533866,68.78648,65.81376
PI533869,65.35011,63.19027
PI533878,64.04300,65.66042
PI533901,68.55016,69.77734
PI533902,74.55972,68.52318
PI533903,66.63875,67.16847
PI533910,66.14634,59.89673
PI533911,67.06830,60.84650
PI533912,52.02389,50.83951
PI533913,63.44204,60.39493
PI533915,63.74252,62.20121
PI533919,69.15112,63.55592
PI533921,64.92056,61.74964
PI533924,70.50467,67.16847
PI533927,68.78648,66.71690
PI533936,63.44204,63.10435
PI533937,62.24013,59.04023
PI533938,61.05464,55.87924
PI533939,65.77965,60.39493
PI533940,63.44204,61.74964
PI533943,65.84586,64.91063
PI533948,63.74252,60.84650
PI533949,62.54061,52.26669
PI533954,62.34328,54.95643
PI533955,61.93965,60.84650
PI533956,62.24013,62.65278
PI533957,64.49101,56.78238
PI533961,64.34347,63.19027
PI533962,67.94921,69.42632
PI533964,72.15590,69.77734
PI533965,69.45160,66.71690
PI533967,73.08195,66.26533
PI533970,68.78648,63.19027
PI533972,73.35781,67.16847
PI533976,65.24491,63.19027
PI533979,58.33392,57.42658
PI533980,71.25446,69.42632
PI533985,65.35011,62.65278
PI533986,65.84586,59.94336
PI533987,61.03822,57.23395
PI533989,72.22286,69.87789
PI533991,66.14634,62.65278
PI533996,63.44204,58.13709
PI533997,60.73774,56.78238
PI533998,70.05255,59.07335
PI534009,76.66306,76.65142
PI534021,71.25446,74.84515
PI534037,61.63917,60.39493
PI534046,61.91373,57.68552
PI534047,54.42771,52.26669
PI534053,72.15590,64.45906
PI534054,69.45160,68.13057
PI534063,60.43726,59.04023
PI534070,55.62962,55.87924
PI534097,63.44204,60.72012
PI534099,65.54539,63.10435
PI534101,67.64873,60.84650
PI534104,65.77965,62.36688
PI534105,64.04300,61.74964
PI534108,64.64395,62.65278
PI534112,69.15112,64.45906
PI534114,70.95398,65.81376
PI534115,64.34347,63.10435
PI534116,67.04777,61.74964
PI534117,60.73774,57.42658
PI534123,64.64395,61.74964
PI534124,63.44204,67.30719
PI534127,67.34825,62.65278
PI534128,70.65351,64.01365
PI534132,65.35011,62.65278
PI534133,70.05255,67.62004
PI534135,77.56450,74.84515
PI534137,66.63875,63.10435
PI534138,70.65351,71.68416
PI534139,60.43726,57.42658
PI534144,67.92739,65.36219
PI534145,57.73296,54.07297
PI534148,70.05255,63.55592
PI534155,68.85064,68.13057
PI534157,72.45637,66.26533
PI534163,73.65828,68.97475
PI542406,79.52516,80.48133
PI542718,61.63917,68.07161
PI548797,71.55494,67.62004
PI552861,64.06147,62.65278
PI561072,69.45160,66.26533
PI561073,76.36258,69.77734
PI561472,74.64965,69.42632
PI564163,67.06830,64.00749
PI564164,68.55016,67.16847
PI564165,76.36258,72.58730
PI565121,74.25924,66.71690
PI574455,72.45637,70.32945
PI576130,73.35781,73.03887
PI576332,67.92739,65.36219
PI576333,67.49784,66.71690
PI576337,63.44204,61.74964
PI576339,61.33870,58.58866
PI576340,65.24491,64.00749
PI576345,72.22286,64.00749
PI576347,57.18871,54.07297
PI576348,67.34825,64.45906
PI576349,70.65351,62.36688
PI576350,58.04781,51.36355
PI576352,62.24013,64.91063
PI576359,68.78648,70.78102
PI576364,61.63917,59.07335
PI576366,56.32962,55.87924
PI576373,65.54539,63.19027
PI576375,68.55016,64.01365
PI576376,64.94443,63.10435
PI576380,69.75207,67.16847
PI576381,70.95398,64.83704
PI576385,59.23535,54.97610
PI576386,74.86020,75.54103
PI576387,67.06830,59.49180
PI576390,60.43726,56.60320
PI576393,58.47735,58.24996
PI576394,62.24013,61.29807
PI576396,66.63875,62.20121
PI576399,63.74252,62.20121
PI576401,76.66306,67.16847
PI576418,65.84586,65.36219
PI576422,65.84586,64.01365
PI576425,64.92056,63.19027
PI576426,69.15112,68.97475
PI576428,70.05255,65.81376
PI576435,66.44682,63.19027
PI576437,63.44204,63.19027
PI585295,75.16067,66.48380
PI595699,70.65351,63.55592
PI595702,63.14156,59.49180
PI595714,65.77965,63.10435
PI595718,60.13679,54.13304
PI595720,61.33870,64.91063
PI595739,69.45160,66.48380
PI595740,71.25446,72.58730
PI595741,66.20920,56.78238
PI595743,75.76163,72.13573
PI595744,61.93965,60.39493
PI595745,64.34347,59.89673
PI597945,64.10775,73.89426
PI597946,58.90690,61.74964
PI597949,75.76163,69.77734
PI597950,59.53583,54.97610
PI597951,63.14156,58.13709
PI597952,66.44682,62.20121
PI597957,64.04300,64.91063
PI597958,66.14634,65.36219
PI597960,68.24969,65.81376
PI597961,63.14156,58.58866
PI597964,70.35303,67.16847
PI597965,63.14156,58.58866
PI597966,63.35476,60.72012
PI597967,67.94921,65.81376
PI597968,67.94921,58.24996
PI597971,65.54539,60.39493
PI597972,64.06147,58.58866
PI597973,70.95398,62.65278
PI597976,60.13679,62.20121
PI597980,61.33870,59.07335
PI597982,56.83153,52.48628
PI598069,90.46251,76.19985
