Plot,Row,Col,Asseccion,value,Block,Trt
5001,2,31,PI 656057,536.4,5,SN
5002,3,31,PI 656011,1142.4,5,SN
5003,4,31,PI 576347,NA,5,SN
5008,9,31,PI 533876,NA,5,SN
5009,10,31,BTx623,671.2,5,SN
5011,12,31,PI 533789,184.2,5,SN
5014,2,30,PI 534117,642.6,5,SN
5015,3,30,BTx623,855,5,SN
5016,4,30,BTx623,662.4,5,SN
5017,5,30,PI 533807,754.8,5,SN
5018,6,30,PI 533901,668.8,5,SN
5019,7,30,PI 597976,563.2,5,SN
5020,8,30,PI 533962,NA,5,SN
5022,10,30,BTx623,249.2,5,SN
5023,11,30,PI 656027,397.2,5,SN
5024,12,30,PI 656029,593.6,5,SN
5025,13,30,PI 48770,196.8,5,SN
5026,14,30,PI 656095,208,5,SN
5027,2,29,PI 576386,187.6,5,SN
5028,3,29,PI 656044,NA,5,SN
5029,4,29,PI 656037,1266.2,5,SN
5030,5,29,PI 656117,388.8,5,SN
5031,6,29,PI 533755,NA,5,SN
5032,7,29,PI 533766,NA,5,SN
5033,8,29,PI 533821,NA,5,SN
5034,9,29,PI 655979,152.6,5,SN
5035,10,29,PI 533769,NA,5,SN
5036,11,29,PI 656076,657.6,5,SN
5037,12,29,BTx623,981.2,5,SN
5038,13,29,PI 656041,445.2,5,SN
5039,14,29,PI 656020,235.2,5,SN
5040,2,28,PI 655976,887.4,5,SN
5041,3,28,BTx623,242.2,5,SN
5042,4,28,PI 534096,NA,5,SN
5043,5,28,PI 656079,252,5,SN
5044,6,28,PI 656072,599.5,5,SN
5045,7,28,PI 533980,347.2,5,SN
5046,8,28,BTx623,NA,5,SN
5047,9,28,PI 534124,NA,5,SN
5048,10,28,PI 595718,NA,5,SN
5049,11,28,PI 542718,376.2,5,SN
5050,12,28,PI 533800,610.3,5,SN
5051,13,28,PI 656118,NA,5,SN
5052,14,28,PI 534115,340,5,SN
5053,2,27,PI 656043,1142.4,5,SN
5054,3,27,PI 533838,89.1,5,SN
5055,4,27,PI 601816,148.8,5,SN
5056,5,27,PI 656111,1162.2,5,SN
5057,6,27,PI 533936,388.8,5,SN
5058,7,27,PI 656081,362.7,5,SN
5059,8,27,PI 656100,NA,5,SN
5060,9,27,PI 542406,NA,5,SN
5061,10,27,PI 655981,404.8,5,SN
5062,11,27,PI 597951,409.4,5,SN
5063,12,27,PI 656092,741.6,5,SN
5064,13,27,PI 276837,304,5,SN
5065,14,27,PI 656016,319.5,5,SN
5066,2,26,PI 576437,700.9,5,SN
5067,3,26,PI 534144,954,5,SN
5068,4,26,BTx623,775.6,5,SN
5069,5,26,PI 576352,315.7,5,SN
5070,6,26,PI 655975,1011.4,5,SN
5071,7,26,PI 533924,213.4,5,SN
5072,8,26,PI 595739,NA,5,SN
5073,9,26,PI 534104,NA,5,SN
5074,10,26,PI 659695,736.1,5,SN
5075,11,26,PI 597982,NA,5,SN
5076,12,26,PI 656032,NA,5,SN
5077,13,26,PI 656055,820.8,5,SN
5078,14,26,PI 656121,631.8,5,SN
5079,2,25,PI 656000,671.5,5,SN
5080,3,25,PI 533915,520.8,5,SN
5081,4,25,PI 656104,386.4,5,SN
5082,5,25,PI 651496,535.5,5,SN
5083,6,25,PI 595745,NA,5,SN
5084,7,25,PI 656060,611.8,5,SN
5085,8,25,PI 34911,NA,5,SN
5086,9,25,PI 656022,NA,5,SN
5087,10,25,BTx623,1044.4,5,SN
5088,11,25,PI 656080,193.2,5,SN
5089,12,25,PI 656090,135,5,SN
5090,13,25,PI 533842,48,5,SN
5091,14,25,PI 656018,1218.6,5,SN
5092,2,24,PI 533759,762.5,5,SN
5093,3,24,PI 533987,756.5,5,SN
5094,4,24,PI 576350,NA,5,SN
5095,5,24,PI 576376,382,5,SN
5096,6,24,PI 656093,121,5,SN
5097,7,24,PI 533957,695.2,5,SN
